,Year,Citations
0,2019,313
1,2019,36
2,2019,31
3,2019,33
4,2019,11
5,2019,4
6,2019,2
7,2019,2
8,2019,0
9,2019,0
10,2019,0
11,2019,0
12,2019,0
13,2020,241
14,2020,310
15,2020,313
16,2020,171
17,2020,152
18,2020,238
19,2020,188
20,2020,107
21,2020,87
22,2020,103
23,2020,116
24,2020,80
25,2020,84
26,2020,90
27,2020,73
28,2020,48
29,2020,47
30,2020,47
31,2020,44
32,2020,56
33,2020,94
34,2020,39
35,2020,31
36,2020,32
37,2020,27
38,2020,28
39,2020,29
40,2020,24
41,2020,25
42,2020,22
43,2020,25
44,2020,21
45,2020,25
46,2020,18
47,2020,20
48,2020,20
49,2020,19
50,2020,16
51,2020,14
52,2020,19
53,2020,14
54,2020,13
55,2020,13
56,2020,13
57,2020,14
58,2020,11
59,2020,10
60,2020,13
61,2020,10
62,2020,11
63,2020,9
64,2020,12
65,2020,15
66,2020,8
67,2020,11
68,2020,8
69,2020,11
70,2020,7
71,2020,9
72,2020,7
73,2020,8
74,2020,6
75,2020,7
76,2020,5
77,2020,7
78,2020,10
79,2020,4
80,2020,4
81,2020,5
82,2020,4
83,2020,4
84,2020,3
85,2020,1
86,2020,2
87,2020,2
88,2020,2
89,2020,2
90,2020,1
91,2020,2
92,2020,1
93,2020,1
94,2020,1
95,2020,1
96,2020,1
97,2020,1
98,2020,0
99,2020,0
100,2020,0
101,2020,0
102,2020,0
103,2020,0
104,2020,0
105,2020,0
106,2020,0
107,2020,0
108,2020,0
109,2020,0
110,2021,981
111,2021,621
112,2021,170
113,2021,176
114,2021,124
115,2021,60
116,2021,84
117,2021,130
118,2021,52
119,2021,100
120,2021,48
121,2021,57
122,2021,42
123,2021,48
124,2021,48
125,2021,40
126,2021,37
127,2021,33
128,2021,30
129,2021,33
130,2021,21
131,2021,66
132,2021,34
133,2021,20
134,2021,24
135,2021,25
136,2021,22
137,2021,30
138,2021,21
139,2021,29
140,2021,26
141,2021,42
142,2021,27
143,2021,38
144,2021,16
145,2021,16
146,2021,26
147,2021,22
148,2021,23
149,2021,17
150,2021,17
151,2021,22
152,2021,17
153,2021,13
154,2021,16
155,2021,18
156,2021,13
157,2021,17
158,2021,22
159,2021,17
160,2021,20
161,2021,12
162,2021,20
163,2021,20
164,2021,18
165,2021,17
166,2021,19
167,2021,9
168,2021,21
169,2021,8
170,2021,14
171,2021,17
172,2021,11
173,2021,17
174,2021,12
175,2021,11
176,2021,14
177,2021,11
178,2021,14
179,2021,12
180,2021,9
181,2021,15
182,2021,11
183,2021,9
184,2021,14
185,2021,11
186,2021,12
187,2021,8
188,2021,5
189,2021,8
190,2021,8
191,2021,7
192,2021,9
193,2021,5
194,2021,8
195,2021,5
196,2021,7
197,2021,9
198,2021,5
199,2021,9
200,2021,9
201,2021,10
202,2021,3
203,2021,7
204,2021,8
205,2021,4
206,2021,4
207,2021,5
208,2021,9
209,2021,4
210,2021,3
211,2021,3
212,2021,2
213,2021,3
214,2021,5
215,2021,4
216,2021,2
217,2021,2
218,2021,3
219,2021,2
220,2021,2
221,2021,4
222,2021,2
223,2021,2
224,2021,3
225,2021,5
226,2021,2
227,2021,2
228,2021,3
229,2021,1
230,2021,3
231,2021,1
232,2021,1
233,2021,1
234,2021,2
235,2021,1
236,2021,2
237,2021,1
238,2021,5
239,2021,1
240,2021,1
241,2021,2
242,2021,2
243,2021,2
244,2021,2
245,2021,2
246,2021,3
247,2021,2
248,2021,3
249,2021,3
250,2021,1
251,2021,1
252,2021,2
253,2021,1
254,2021,0
255,2021,0
256,2021,0
257,2021,0
258,2021,0
259,2021,0
260,2021,0
261,2021,0
262,2021,0
263,2021,0
264,2021,0
265,2021,0
266,2021,0
267,2021,0
268,2021,0
269,2021,0
270,2021,0
271,2021,0
272,2021,0
273,2021,0
274,2021,0
275,2021,0
276,2021,0
277,2021,0
278,2021,0
279,2021,0
280,2021,0
281,2021,0
282,2021,0
283,2021,0
284,2021,0
285,2022,360
286,2022,163
287,2022,88
288,2022,92
289,2022,122
290,2022,89
291,2022,74
292,2022,52
293,2022,27
294,2022,42
295,2022,47
296,2022,106
297,2022,41
298,2022,39
299,2022,45
300,2022,36
301,2022,29
302,2022,35
303,2022,27
304,2022,33
305,2022,33
306,2022,23
307,2022,34
308,2022,34
309,2022,25
310,2022,17
311,2022,23
