,Year,Citations
0,2020,631
1,2020,417
2,2020,1382
3,2020,1594
4,2020,580
5,2020,949
6,2020,415
7,2020,391
8,2020,334
9,2020,327
10,2020,291
11,2020,1625
12,2020,254
13,2020,292
14,2020,283
15,2020,287
16,2020,254
17,2020,234
18,2020,226
19,2020,377
20,2020,270
21,2020,385
22,2020,234
23,2020,218
24,2020,240
25,2020,169
26,2020,183
27,2020,223
28,2020,172
29,2020,145
30,2020,140
31,2020,192
32,2020,123
33,2020,115
34,2020,125
35,2020,119
36,2020,122
37,2020,110
38,2020,262
39,2020,116
40,2020,106
41,2020,102
42,2020,101
43,2020,85
44,2020,83
45,2020,84
46,2020,85
47,2020,71
48,2020,77
49,2020,68
50,2020,78
51,2020,68
52,2020,69
53,2020,76
54,2020,66
55,2020,75
56,2020,56
57,2020,66
58,2020,80
59,2020,64
60,2020,57
61,2020,74
62,2020,57
63,2020,54
64,2020,47
65,2020,57
66,2020,45
67,2020,58
68,2020,43
69,2020,46
70,2020,46
71,2020,48
72,2020,39
73,2020,40
74,2020,43
75,2020,43
76,2020,39
77,2020,47
78,2020,41
79,2020,35
80,2020,37
81,2020,35
82,2020,34
83,2020,35
84,2020,36
85,2020,33
86,2020,32
87,2020,33
88,2020,30
89,2020,32
90,2020,27
91,2020,27
92,2020,32
93,2020,26
94,2020,27
95,2020,72
96,2020,25
97,2020,26
98,2020,32
99,2020,33
100,2020,24
101,2020,28
102,2020,18
103,2020,38
104,2020,21
105,2020,18
106,2020,18
107,2020,19
108,2020,17
109,2020,19
110,2020,18
111,2020,18
112,2020,15
113,2020,14
114,2020,16
115,2020,18
116,2020,13
117,2020,14
118,2020,14
119,2020,17
120,2020,13
121,2020,13
122,2020,18
123,2020,13
124,2020,12
125,2020,13
126,2020,12
127,2020,12
128,2020,11
129,2020,11
130,2020,24
131,2020,9
132,2020,13
133,2020,10
134,2020,11
135,2020,9
136,2020,19
137,2020,9
138,2020,9
139,2020,9
140,2020,12
141,2020,10
142,2020,21
143,2020,9
144,2020,7
145,2020,7
146,2020,8
147,2020,10
148,2020,6
149,2020,7
150,2020,8
151,2020,7
152,2020,6
153,2020,7
154,2020,13
155,2020,6
156,2020,7
157,2020,5
158,2020,5
159,2020,6
160,2020,6
161,2020,6
162,2020,5
163,2020,5
164,2020,6
165,2020,6
166,2020,6
167,2020,5
168,2020,6
169,2020,5
170,2020,5
171,2020,5
172,2020,5
173,2020,4
174,2020,4
175,2020,6
176,2020,5
177,2020,4
178,2020,4
179,2020,4
180,2020,4
181,2020,4
182,2020,8
183,2020,6
184,2020,4
185,2020,3
186,2020,7
187,2020,6
188,2020,4
189,2020,4
190,2020,3
191,2020,4
192,2020,5
193,2020,3
194,2020,3
195,2020,4
196,2020,7
197,2020,4
198,2020,2
199,2020,3
200,2020,2
201,2020,2
202,2020,4
203,2020,2
204,2020,3
205,2020,3
206,2020,2
207,2020,2
208,2020,2
209,2020,2
210,2020,2
211,2020,1
212,2020,2
213,2020,2
214,2020,4
215,2020,2
216,2020,2
217,2020,1
218,2020,2
219,2020,2
220,2020,3
221,2020,1
222,2020,1
223,2020,1
224,2020,1
225,2020,1
226,2020,3
227,2020,1
228,2020,1
229,2020,1
230,2020,1
231,2020,1
232,2020,3
233,2020,1
234,2020,2
235,2020,0
236,2020,0
237,2020,0
238,2020,0
239,2020,0
240,2020,2
241,2020,0
242,2020,0
243,2020,0
244,2020,0
245,2020,0
246,2020,0
247,2020,0
248,2020,0
249,2020,0
250,2020,1
251,2020,0
252,2020,0
253,2020,0
254,2020,0
255,2020,0
256,2020,0
257,2020,0
258,2020,0
259,2020,0
260,2020,0
261,2020,0
262,2020,0
263,2020,0
264,2020,0
265,2020,0
266,2020,0
267,2020,0
268,2020,0
269,2020,0
270,2020,0
271,2020,0
272,2020,0
273,2020,0
274,2020,0
275,2020,0
276,2020,0
277,2020,0
278,2020,0
279,2020,0
280,2020,2
281,2020,1
282,2020,0
283,2020,0
284,2020,0
285,2020,0
286,2020,0
287,2020,0
288,2020,0
289,2020,0
290,2020,1
291,2020,1
292,2020,1
293,2020,0
294,2020,0
295,2020,0
296,2020,0
297,2020,0
298,2020,0
299,2020,0
300,2020,0
301,2020,0
302,2020,0
303,2020,0
304,2020,0
305,2020,0
306,2020,0
307,2020,0
308,2020,0
309,2020,0
310,2020,0
311,2020,0
312,2020,0
313,2020,0
314,2020,0
315,2020,0
316,2020,0
317,2020,0
318,2020,0
319,2020,0
320,2020,0
321,2020,0
322,2020,0
323,2020,0
324,2020,0
325,2020,0
326,2020,0
327,2020,0
328,2021,4402
329,2021,759
330,2021,749
331,2021,598
332,2021,712
333,2021,1592
334,2021,1295
335,2021,1295
336,2021,993
337,2021,465
338,2021,838
339,2021,774
340,2021,407
341,2021,662
342,2021,658
343,2021,483
344,2021,629
345,2021,1942
346,2021,389
347,2021,1349
348,2021,590
349,2021,472
350,2021,481
351,2021,515
352,2021,354
353,2021,428
354,2021,507
355,2021,413
356,2021,528
357,2021,947
358,2021,430
359,2021,358
360,2021,256
361,2021,391
362,2021,381
363,2021,305
364,2021,288
365,2021,755
366,2021,272
367,2021,399
368,2021,243
369,2021,296
370,2021,357
371,2021,180
372,2021,325
373,2021,417
374,2021,284
375,2021,282
376,2021,208
377,2021,181
378,2021,281
379,2021,195
380,2021,291
381,2021,203
382,2021,169
383,2021,162
384,2021,201
385,2021,262
386,2021,169
387,2021,185
388,2021,248
389,2021,270
390,2021,203
391,2021,199
392,2021,194
393,2021,191
394,2021,226
395,2021,230
396,2021,141
397,2021,190
398,2021,245
399,2021,195
400,2021,198
401,2021,648
402,2021,164
403,2021,212
404,2021,139
405,2021,196
406,2021,188
407,2021,200
408,2021,146
409,2021,211
410,2021,182
411,2021,185
412,2021,163
413,2021,193
414,2021,179
415,2021,134
416,2021,161
417,2021,100
418,2021,179
419,2021,176
420,2021,161
421,2021,114
422,2021,144
423,2021,169
424,2021,179
425,2021,166
426,2021,193
427,2021,194
428,2021,178
429,2021,164
430,2021,158
431,2021,108
432,2021,133
433,2021,204
434,2021,200
435,2021,157
436,2021,429
437,2021,171
438,2021,158
439,2021,127
440,2021,88
441,2021,154
442,2021,134
443,2021,164
444,2021,136
445,2021,159
446,2021,83
447,2021,145
448,2021,101
449,2021,141
450,2021,103
451,2021,99
452,2021,121
453,2021,149
454,2021,77
455,2021,138
456,2021,152
457,2021,98
458,2021,126
459,2021,106
460,2021,133
461,2021,125
462,2021,70
463,2021,115
464,2021,94
465,2021,92
466,2021,152
467,2021,93
468,2021,101
469,2021,121
470,2021,122
471,2021,100
472,2021,123
473,2021,105
474,2021,106
475,2021,108
476,2021,124
477,2021,123
478,2021,82
479,2021,123
480,2021,119
481,2021,125
482,2021,83
483,2021,75
484,2021,107
485,2021,83
486,2021,100
487,2021,114
488,2021,120
489,2021,109
490,2021,109
491,2021,128
492,2021,105
493,2021,94
494,2021,132
495,2021,88
496,2021,102
497,2021,110
498,2021,174
499,2021,105
500,2021,117
501,2021,79
502,2021,97
503,2021,106
504,2021,110
505,2021,81
506,2021,86
507,2021,74
508,2021,82
509,2021,96
510,2021,116
511,2021,93
512,2021,56
513,2021,96
514,2021,79
515,2021,85
516,2021,99
517,2021,68
518,2021,101
519,2021,85
520,2021,96
521,2021,75
522,2021,88
523,2021,70
524,2021,81
525,2021,110
526,2021,79
527,2021,79
528,2021,72
529,2021,87
530,2021,74
531,2021,65
532,2021,85
533,2021,73
534,2021,72
535,2021,78
536,2021,72
537,2021,82
538,2021,86
539,2021,53
540,2021,90
541,2021,78
542,2021,79
543,2021,91
544,2021,83
545,2021,54
546,2021,58
547,2021,89
548,2021,89
549,2021,61
550,2021,75
551,2021,67
552,2021,75
553,2021,47
554,2021,53
555,2021,84
556,2021,69
557,2021,60
558,2021,65
559,2021,70
560,2021,49
561,2021,53
562,2021,68
563,2021,80
564,2021,78
565,2021,62
566,2021,62
567,2021,50
568,2021,63
569,2021,81
570,2021,79
571,2021,82
572,2021,211
573,2021,89
574,2021,72
575,2021,119
576,2021,61
577,2021,80
578,2021,72
579,2021,108
580,2021,62
581,2021,51
582,2021,83
583,2021,59
584,2021,57
585,2021,73
586,2021,59
587,2021,60
588,2021,67
589,2021,83
590,2021,60
591,2021,76
592,2021,50
593,2021,65
594,2021,60
595,2021,83
596,2021,48
597,2021,58
598,2021,80
599,2021,71
600,2021,75
601,2021,51
602,2021,66
603,2021,71
604,2021,48
605,2021,63
606,2021,66
607,2021,54
608,2021,78
609,2021,71
610,2021,57
611,2021,62
612,2021,76
613,2021,50
614,2021,54
615,2021,55
616,2021,57
617,2021,47
618,2021,65
619,2021,58
620,2021,65
621,2021,67
622,2021,72
623,2021,106
624,2021,69
625,2021,59
626,2021,60
627,2021,68
628,2021,62
629,2021,57
630,2021,55
631,2021,65
632,2021,61
633,2021,62
634,2021,62
635,2021,61
636,2021,44
637,2021,62
638,2021,64
639,2021,63
640,2021,45
641,2021,72
642,2021,53
643,2021,64
644,2021,43
645,2021,40
646,2021,67
647,2021,63
648,2021,36
649,2021,47
650,2021,54
651,2021,71
652,2021,46
653,2021,53
654,2021,56
655,2021,68
656,2021,59
657,2021,54
658,2021,65
659,2021,50
660,2021,40
661,2021,43
662,2021,60
663,2021,85
664,2021,65
665,2021,45
666,2021,60
667,2021,47
668,2021,62
669,2021,47
670,2021,59
671,2021,63
672,2021,63
673,2021,70
674,2021,60
675,2021,53
676,2021,45
677,2021,58
678,2021,53
679,2021,129
680,2021,44
681,2021,159
682,2021,49
683,2021,46
684,2021,54
685,2021,50
686,2021,54
687,2021,50
688,2021,54
689,2021,40
690,2021,57
691,2021,49
692,2021,56
693,2021,60
694,2021,51
695,2021,53
696,2021,39
697,2021,42
698,2021,57
699,2021,41
700,2021,29
701,2021,34
702,2021,38
703,2021,51
704,2021,157
705,2021,42
706,2021,75
707,2021,40
708,2021,45
709,2021,46
710,2021,52
711,2021,54
712,2021,37
713,2021,52
714,2021,43
715,2021,46
716,2021,37
717,2021,37
718,2021,45
719,2021,51
720,2021,38
721,2021,37
722,2021,30
723,2021,42
724,2021,48
725,2021,53
726,2021,46
727,2021,44
728,2021,38
729,2021,46
730,2021,39
731,2021,49
732,2021,45
733,2021,44
734,2021,42
735,2021,47
736,2021,42
737,2021,49
738,2021,29
739,2021,47
740,2021,45
741,2021,47
742,2021,36
743,2021,30
744,2021,41
745,2021,37
746,2021,55
747,2021,28
748,2021,33
749,2021,36
750,2021,41
751,2021,45
752,2021,42
753,2021,33
754,2021,48
755,2021,41
756,2021,43
757,2021,41
758,2021,35
759,2021,44
760,2021,54
761,2021,46
762,2021,42
763,2021,28
764,2021,44
765,2021,24
766,2021,23
767,2021,42
768,2021,41
769,2021,30
770,2021,43
771,2021,36
772,2021,38
773,2021,23
774,2021,39
775,2021,43
776,2021,49
777,2021,39
778,2021,38
779,2021,36
780,2021,31
781,2021,44
782,2021,35
783,2021,34
784,2021,31
785,2021,41
786,2021,35
787,2021,27
788,2021,45
789,2021,46
790,2021,36
791,2021,26
792,2021,31
793,2021,40
794,2021,29
795,2021,38
796,2021,27
797,2021,38
798,2021,38
799,2021,31
800,2021,25
801,2021,35
802,2021,33
803,2021,43
804,2021,43
805,2021,26
806,2021,32
807,2021,35
808,2021,38
809,2021,30
810,2021,49
811,2021,42
812,2021,35
813,2021,37
814,2021,28
815,2021,26
816,2021,31
817,2021,103
818,2021,35
819,2021,41
820,2021,33
821,2021,33
822,2021,26
823,2021,32
824,2021,33
825,2021,42
826,2021,36
827,2021,31
828,2021,29
829,2021,36
830,2021,22
831,2021,32
832,2021,35
833,2021,35
834,2021,37
835,2021,26
836,2021,35
837,2021,33
838,2021,34
839,2021,38
840,2021,38
841,2021,31
842,2021,28
843,2021,33
844,2021,39
845,2021,34
846,2021,30
847,2021,21
848,2021,31
849,2021,32
850,2021,25
851,2021,28
852,2021,24
853,2021,21
854,2021,25
855,2021,29
856,2021,49
857,2021,38
858,2021,37
859,2021,21
860,2021,38
861,2021,24
862,2021,31
863,2021,37
864,2021,31
865,2021,26
866,2021,31
867,2021,17
868,2021,25
869,2021,116
870,2021,27
871,2021,33
872,2021,29
873,2021,51
874,2021,26
875,2021,31
876,2021,24
877,2021,33
878,2021,30
879,2021,25
880,2021,26
881,2021,18
882,2021,18
883,2021,30
884,2021,35
885,2021,30
886,2021,19
887,2021,30
888,2021,34
889,2021,25
890,2021,32
891,2021,31
892,2021,37
893,2021,24
894,2021,27
895,2021,23
896,2021,29
897,2021,33
898,2021,27
899,2021,29
900,2021,22
901,2021,37
902,2021,25
903,2021,33
904,2021,22
905,2021,18
906,2021,22
907,2021,30
908,2021,28
909,2021,22
910,2021,26
911,2021,27
912,2021,17
913,2021,28
914,2021,28
915,2021,31
916,2021,17
917,2021,28
918,2021,16
919,2021,20
920,2021,31
921,2021,22
922,2021,37
923,2021,40
924,2021,23
925,2021,23
926,2021,31
927,2021,27
928,2021,27
929,2021,30
930,2021,32
931,2021,28
932,2021,29
933,2021,35
934,2021,38
935,2021,30
936,2021,26
937,2021,41
938,2021,28
939,2021,28
940,2021,27
941,2021,32
942,2021,23
943,2021,25
944,2021,16
945,2021,23
946,2021,21
947,2021,18
948,2021,26
949,2021,23
950,2021,25
951,2021,75
952,2021,82
953,2021,29
954,2021,16
955,2021,21
956,2021,28
957,2021,15
958,2021,25
959,2021,36
960,2021,65
961,2021,16
962,2021,22
963,2021,19
964,2021,22
965,2021,24
966,2021,20
967,2021,23
968,2021,19
969,2021,26
970,2021,15
971,2021,60
972,2021,13
973,2021,27
974,2021,18
975,2021,28
976,2021,18
977,2021,23
978,2021,24
979,2021,22
980,2021,19
981,2021,27
982,2021,22
983,2021,24
984,2021,25
985,2021,19
986,2021,22
987,2021,18
988,2021,16
989,2021,21
990,2021,27
991,2021,19
992,2021,17
993,2021,18
994,2021,29
995,2021,21
996,2021,75
997,2021,17
998,2021,28
999,2021,18
1000,2021,16
1001,2021,64
1002,2021,26
1003,2021,26
1004,2021,16
1005,2021,21
1006,2021,19
1007,2021,18
1008,2021,15
1009,2021,22
1010,2021,21
1011,2021,22
1012,2021,23
1013,2021,24
1014,2021,22
1015,2021,32
1016,2021,23
1017,2021,17
1018,2021,20
1019,2021,25
1020,2021,15
1021,2021,17
1022,2021,22
1023,2021,16
1024,2021,19
1025,2021,21
1026,2021,14
1027,2021,15
1028,2021,23
1029,2021,17
1030,2021,14
1031,2021,20
1032,2021,16
1033,2021,14
1034,2021,15
1035,2021,26
1036,2021,14
1037,2021,17
1038,2021,18
1039,2021,20
1040,2021,21
1041,2021,27
1042,2021,16
1043,2021,32
1044,2021,34
1045,2021,18
1046,2021,17
1047,2021,62
1048,2021,16
1049,2021,22
1050,2021,19
1051,2021,22
1052,2021,16
1053,2021,20
1054,2021,12
1055,2021,15
1056,2021,20
1057,2021,13
1058,2021,20
1059,2021,17
1060,2021,17
1061,2021,14
1062,2021,21
1063,2021,12
1064,2021,23
1065,2021,21
1066,2021,24
1067,2021,18
1068,2021,12
1069,2021,20
1070,2021,21
1071,2021,20
1072,2021,13
1073,2021,22
1074,2021,29
1075,2021,28
1076,2021,15
1077,2021,14
1078,2021,17
1079,2021,14
1080,2021,20
1081,2021,13
1082,2021,14
1083,2021,15
1084,2021,11
1085,2021,25
1086,2021,21
1087,2021,18
1088,2021,15
1089,2021,15
1090,2021,16
1091,2021,20
1092,2021,30
1093,2021,24
1094,2021,24
1095,2021,19
1096,2021,22
1097,2021,22
1098,2021,18
1099,2021,13
1100,2021,23
1101,2021,20
1102,2021,14
1103,2021,18
1104,2021,19
1105,2021,22
1106,2021,16
1107,2021,21
1108,2021,14
1109,2021,13
1110,2021,15
1111,2021,51
1112,2021,19
1113,2021,27
1114,2021,18
1115,2021,19
1116,2021,13
1117,2021,25
1118,2021,20
1119,2021,13
1120,2021,18
1121,2021,17
1122,2021,16
1123,2021,17
1124,2021,18
1125,2021,16
1126,2021,18
1127,2021,10
1128,2021,18
1129,2021,25
1130,2021,18
1131,2021,15
1132,2021,10
1133,2021,13
1134,2021,17
1135,2021,22
1136,2021,15
1137,2021,13
1138,2021,21
1139,2021,12
1140,2021,18
1141,2021,13
1142,2021,13
1143,2021,15
1144,2021,18
1145,2021,15
1146,2021,18
1147,2021,17
1148,2021,21
1149,2021,12
1150,2021,17
1151,2021,19
1152,2021,20
1153,2021,17
1154,2021,12
1155,2021,19
1156,2021,18
1157,2021,11
1158,2021,16
1159,2021,13
1160,2021,17
1161,2021,15
1162,2021,19
1163,2021,25
1164,2021,17
1165,2021,15
1166,2021,14
1167,2021,19
1168,2021,17
1169,2021,12
1170,2021,35
1171,2021,16
1172,2021,13
1173,2021,19
1174,2021,17
1175,2021,26
1176,2021,13
1177,2021,15
1178,2021,14
1179,2021,13
1180,2021,20
1181,2021,18
1182,2021,13
1183,2021,16
1184,2021,19
1185,2021,11
1186,2021,13
1187,2021,12
1188,2021,12
1189,2021,11
1190,2021,17
1191,2021,11
1192,2021,18
1193,2021,11
1194,2021,16
1195,2021,18
1196,2021,11
1197,2021,14
