,Year,Citations
0,2019,3
1,2020,14
2,2020,6
3,2020,1
4,2021,316
5,2021,36
6,2021,10
7,2021,14
8,2021,9
9,2021,9
10,2021,4
11,2021,5
12,2021,4
13,2021,3
14,2021,1
15,2021,2
16,2021,1
17,2021,0
18,2021,0
19,2021,0
20,2021,0
21,2022,28
22,2022,12
23,2022,9
24,2022,3
25,2022,4
26,2022,6
27,2022,5
28,2022,12
29,2022,4
30,2022,3
31,2022,3
32,2022,3
33,2022,5
34,2022,2
35,2022,2
36,2022,1
37,2022,0
38,2022,0
39,2022,0
40,2023,451
41,2023,61
42,2023,15
43,2023,4
44,2023,7
45,2023,8
46,2023,1
47,2023,4
48,2023,2
49,2023,0
50,2023,2
51,2023,1
52,2023,0
53,2023,0
54,2023,0
