,Year,Citations
0,2018,86
1,2018,62
2,2018,4
3,2018,2
4,2019,861
5,2019,721
6,2019,384
7,2019,75
8,2019,135
9,2019,57
10,2019,85
11,2019,65
12,2019,61
13,2019,73
14,2019,52
15,2019,51
16,2019,41
17,2019,35
18,2019,31
19,2019,34
20,2019,25
21,2019,26
22,2019,20
23,2019,20
24,2019,15
25,2019,11
26,2019,11
27,2019,12
28,2019,9
29,2019,7
30,2019,5
31,2019,5
32,2019,5
33,2019,4
34,2019,4
35,2019,3
36,2019,3
37,2019,2
38,2019,2
39,2019,2
40,2019,1
41,2019,3
42,2019,1
43,2019,0
44,2019,0
45,2019,0
46,2019,0
47,2019,0
48,2019,0
49,2020,462
50,2020,751
51,2020,523
52,2020,319
53,2020,69
54,2020,213
55,2020,213
56,2020,112
57,2020,77
58,2020,105
59,2020,105
60,2020,67
61,2020,50
62,2020,64
63,2020,48
64,2020,43
65,2020,57
66,2020,41
67,2020,36
68,2020,47
69,2020,39
70,2020,36
71,2020,28
72,2020,31
73,2020,36
74,2020,34
75,2020,28
76,2020,27
77,2020,24
78,2020,28
79,2020,20
80,2020,25
81,2020,24
82,2020,23
83,2020,24
84,2020,25
85,2020,21
86,2020,20
87,2020,15
88,2020,18
89,2020,13
90,2020,13
91,2020,18
92,2020,14
93,2020,16
94,2020,14
95,2020,14
96,2020,14
97,2020,15
98,2020,15
99,2020,10
100,2020,10
101,2020,11
102,2020,11
103,2020,13
104,2020,9
105,2020,11
106,2020,12
107,2020,12
108,2020,12
109,2020,10
110,2020,9
111,2020,10
112,2020,8
113,2020,8
114,2020,8
115,2020,6
116,2020,7
117,2020,5
118,2020,5
119,2020,6
120,2020,7
121,2020,6
122,2020,7
123,2020,7
124,2020,6
125,2020,4
126,2020,4
127,2020,3
128,2020,4
129,2020,3
130,2020,4
131,2020,3
132,2020,4
133,2020,3
134,2020,3
135,2020,3
136,2020,3
137,2020,3
138,2020,3
139,2020,3
140,2020,3
141,2020,3
142,2020,2
143,2020,3
144,2020,2
145,2020,2
146,2020,4
147,2020,2
148,2020,2
149,2020,2
150,2020,2
151,2020,2
152,2020,1
153,2020,1
154,2020,1
155,2020,1
156,2020,0
157,2020,0
158,2020,0
159,2020,0
160,2020,0
161,2020,0
162,2020,0
163,2020,0
164,2020,0
165,2020,0
166,2020,0
167,2020,0
168,2020,0
169,2021,184
170,2021,175
171,2021,1000
172,2021,149
173,2021,95
174,2021,143
175,2021,128
176,2021,119
177,2021,92
178,2021,317
179,2021,69
180,2021,70
181,2021,87
182,2021,61
183,2021,55
184,2021,48
185,2021,43
186,2021,50
187,2021,36
188,2021,50
189,2021,42
190,2021,28
191,2021,33
192,2021,27
193,2021,26
194,2021,26
195,2021,27
196,2021,19
197,2021,34
198,2021,25
199,2021,28
200,2021,22
201,2021,30
202,2021,26
203,2021,34
204,2021,22
205,2021,21
206,2021,16
207,2021,17
208,2021,18
209,2021,23
210,2021,19
211,2021,35
212,2021,26
213,2021,18
