,Year,Citations
0,1997,78
1,1997,20
2,1998,21
3,1999,11
4,1999,0
5,2000,15892
6,2000,76
7,2000,15
8,2000,11
9,2001,460
10,2001,15
11,2001,10
12,2001,7
13,2002,337
14,2002,152
15,2002,1
16,2002,1
17,2003,26
18,2003,20
19,2003,10
20,2004,141
21,2004,67
22,2004,5
23,2004,4
24,2004,0
25,2004,0
26,2004,0
27,2005,20
28,2005,10
29,2005,7
30,2005,7
31,2005,1
32,2006,58
33,2006,88
34,2006,56
35,2006,33
36,2006,17
37,2006,9
38,2006,5
39,2006,4
40,2006,1
41,2006,1
42,2007,312
43,2007,71
44,2007,71
45,2007,24
46,2007,29
47,2007,26
48,2007,11
49,2007,8
50,2007,0
51,2007,0
52,2007,0
53,2007,0
54,2008,74
55,2008,9
56,2008,0
57,2009,238
58,2009,125
59,2009,74
60,2009,41
61,2009,19
62,2009,10
63,2009,5
64,2009,65
65,2009,0
66,2010,53
67,2010,40
68,2010,20
69,2010,7
70,2010,8
71,2010,6
72,2010,3
73,2010,2
74,2010,0
75,2010,0
76,2011,1310
77,2011,168
78,2011,45
79,2011,33
80,2011,22
81,2011,24
82,2011,15
83,2011,7
84,2011,11
85,2011,3
86,2011,0
87,2011,0
88,2012,12
89,2012,11
90,2012,13
91,2012,8
92,2012,2
93,2012,1
94,2012,0
95,2013,74
96,2013,8
97,2013,9
98,2013,7
99,2013,3
100,2013,3
101,2013,0
102,2013,0
103,2013,0
104,2014,49
105,2014,12
106,2014,8
107,2014,7
108,2014,3
109,2014,2
110,2014,0
111,2014,0
112,2015,113
113,2015,85
114,2015,53
115,2015,24
116,2015,15
117,2015,11
118,2015,9
119,2015,10
120,2015,6
121,2015,6
122,2015,2
123,2015,0
124,2016,276
125,2016,64
126,2016,51
127,2016,34
128,2016,27
129,2016,28
130,2016,22
131,2016,13
132,2016,10
133,2016,8
134,2016,4
135,2016,2
136,2016,1
137,2016,1
138,2016,0
139,2016,0
140,2016,0
141,2016,0
142,2017,337
143,2017,113
144,2017,80
145,2017,50
146,2017,41
147,2017,31
148,2017,25
149,2017,6
150,2017,6
151,2017,7
152,2017,4
153,2017,4
154,2017,4
155,2017,3
156,2017,1
157,2017,1
158,2017,0
159,2017,0
160,2017,0
161,2017,0
162,2017,1
163,2017,0
164,2017,0
165,2017,0
166,2018,68
167,2018,182
168,2018,126
169,2018,16
170,2018,38
171,2018,33
172,2018,30
173,2018,17
174,2018,15
175,2018,9
176,2018,4
177,2018,3
178,2018,1
179,2018,0
180,2019,103
181,2019,139
182,2019,27
183,2019,63
184,2019,30
185,2019,22
186,2019,7
187,2019,4
188,2019,4
189,2019,1
190,2019,1
191,2019,0
192,2019,0
193,2019,0
194,2019,0
195,2019,0
196,2019,0
197,2020,26
198,2020,83
199,2020,44
200,2020,17
201,2020,19
202,2020,16
203,2020,14
204,2020,13
205,2020,17
206,2020,17
207,2020,8
208,2020,8
209,2020,10
210,2020,7
211,2020,4
212,2020,4
213,2020,3
214,2020,2
215,2020,2
216,2020,3
217,2020,1
218,2020,1
219,2020,1
220,2020,1
221,2020,1
222,2020,0
223,2020,0
224,2020,0
225,2020,0
226,2020,0
227,2021,19
228,2021,86
229,2021,56
230,2021,23
231,2021,15
232,2021,13
233,2021,10
234,2021,8
235,2021,7
236,2021,5
237,2021,13
238,2021,3
239,2021,4
240,2021,1
241,2021,3
242,2021,3
243,2021,1
244,2021,2
245,2021,1
246,2021,1
247,2021,0
248,2021,0
249,2021,0
250,2021,0
251,2021,0
252,2021,0
253,2021,0
254,2021,0
255,2021,0
256,2022,21
257,2022,22
258,2022,38
259,2022,20
260,2022,9
261,2022,14
262,2022,12
263,2022,10
264,2022,5
265,2022,9
266,2022,3
267,2022,1
268,2022,1
269,2022,1
270,2022,1
271,2022,0
272,2022,0
273,2022,0
274,2022,0
275,2022,0
276,2022,0
277,2022,0
278,2022,0
279,2023,334
280,2023,3
281,2023,3
282,2023,15
283,2023,3
284,2023,4
285,2023,3
286,2023,4
287,2023,1
288,2023,2
289,2023,6
290,2023,2
291,2023,1
292,2023,1
293,2023,0
294,2023,0
295,2023,0
296,2023,0
297,2023,0
298,2023,0
299,2023,0
300,2023,0
301,2023,0
302,2023,0
