,Year,Citations
0,2003,20
1,2003,12
2,2004,100
3,2004,26
4,2004,12
5,2004,7
6,2004,5
7,2004,5
8,2004,0
9,2004,0
10,2005,58
11,2005,13
12,2005,10
13,2005,8
14,2005,7
15,2005,4
16,2005,2
17,2005,2
18,2005,2
19,2005,1
20,2006,108
21,2006,140
22,2006,39
23,2006,27
24,2006,33
25,2006,22
26,2006,17
27,2006,9
28,2006,0
29,2006,0
30,2006,0
31,2007,472
32,2007,117
33,2007,32
34,2007,24
35,2007,28
36,2007,29
37,2007,20
38,2007,3
39,2007,6
40,2007,7
41,2007,1
42,2007,1
43,2007,2
44,2007,0
45,2007,0
46,2008,500
47,2008,252
48,2008,209
49,2008,87
50,2008,61
51,2008,31
52,2008,34
53,2008,29
54,2008,20
55,2008,15
56,2008,8
57,2008,4
58,2009,130
59,2009,121
60,2009,80
61,2009,59
62,2009,41
63,2009,37
64,2009,24
65,2009,2
66,2009,1
67,2009,0
68,2010,99
69,2010,98
70,2010,62
71,2010,47
72,2010,42
73,2010,30
74,2010,10
75,2010,7
76,2010,6
77,2010,6
78,2010,4
79,2010,2
80,2010,0
81,2010,0
82,2011,165
83,2011,57
84,2011,45
85,2011,35
86,2011,33
87,2011,28
88,2011,22
89,2011,15
90,2011,7
91,2011,5
92,2011,8
93,2011,0
94,2012,323
95,2012,299
96,2012,211
97,2012,161
98,2012,126
99,2012,123
100,2012,55
101,2012,22
102,2012,22
103,2012,4
104,2012,3
105,2012,3
106,2012,2
107,2012,2
108,2012,1
109,2012,1
110,2012,0
111,2012,0
112,2012,0
113,2012,0
114,2012,0
115,2012,0
116,2013,50
117,2013,39
118,2013,34
119,2013,16
120,2013,7
121,2013,8
122,2013,7
123,2013,5
124,2013,5
125,2013,5
126,2013,5
127,2013,6
128,2013,4
129,2013,0
130,2013,0
131,2013,0
132,2013,0
133,2013,0
134,2014,414
135,2014,196
136,2014,87
137,2014,78
138,2014,78
139,2014,68
140,2014,67
141,2014,34
142,2014,31
143,2014,29
144,2014,30
145,2014,26
146,2014,20
147,2014,17
148,2014,13
149,2014,15
150,2014,14
151,2014,4
152,2014,3
153,2014,1
154,2014,1
155,2014,27
156,2015,704
157,2015,113
158,2015,133
159,2015,123
160,2015,32
161,2015,27
162,2015,17
163,2015,19
164,2015,14
165,2015,11
166,2015,12
167,2015,8
168,2015,9
169,2015,6
170,2015,5
171,2015,4
172,2015,2
173,2015,1
174,2015,1
175,2015,2
176,2015,1
177,2015,1
178,2015,0
179,2015,0
180,2015,0
181,2016,390
182,2016,110
183,2016,68
184,2016,52
185,2016,19
186,2016,38
187,2016,44
188,2016,30
189,2016,32
190,2016,34
191,2016,21
192,2016,21
193,2016,17
194,2016,16
195,2016,16
196,2016,11
197,2016,5
198,2016,2
199,2016,1
200,2016,1
201,2016,0
202,2016,0
203,2016,0
204,2016,0
205,2016,0
206,2017,79
207,2017,62
208,2017,42
209,2017,31
210,2017,27
211,2017,15
212,2017,14
213,2017,13
214,2017,9
215,2017,8
216,2017,3
217,2017,0
218,2017,0
219,2017,0
220,2017,0
221,2017,0
222,2017,0
223,2018,221
224,2018,61
225,2018,57
226,2018,38
227,2018,39
228,2018,13
229,2018,10
230,2018,8
231,2018,6
232,2018,5
233,2018,4
234,2018,3
235,2018,2
236,2018,0
237,2018,0
238,2018,0
239,2018,0
240,2018,0
241,2019,26
242,2019,24
243,2019,34
244,2019,21
245,2019,14
246,2019,11
247,2019,6
248,2019,5
249,2019,4
250,2019,5
251,2019,3
252,2019,3
253,2019,1
254,2019,0
255,2019,0
256,2020,55
257,2020,48
258,2020,34
259,2020,44
260,2020,19
261,2020,31
262,2020,25
263,2020,25
264,2020,17
265,2020,12
266,2020,11
267,2020,8
268,2020,7
269,2020,6
270,2020,5
271,2020,3
272,2020,3
273,2020,1
274,2020,0
275,2020,0
276,2020,0
277,2020,0
278,2020,0
279,2021,41
280,2021,24
281,2021,18
282,2021,13
283,2021,18
284,2021,20
285,2021,9
286,2021,5
287,2021,6
288,2021,2
289,2021,2
290,2021,1
291,2021,1
292,2021,0
293,2021,0
294,2021,0
295,2021,0
296,2021,0
297,2021,0
298,2022,12
299,2022,19
300,2022,9
301,2022,8
302,2022,11
303,2022,9
304,2022,5
305,2022,4
306,2022,2
307,2022,1
308,2022,1
309,2022,1
310,2022,0
311,2023,3
312,2023,5
313,2023,4
314,2023,3
315,2023,7
316,2023,1
317,2023,4
318,2023,1
319,2023,0
320,2023,0
321,2023,2
322,2023,1
323,2023,3
324,2023,0
325,2023,0
326,2023,0
327,2023,0
328,2023,0
329,2023,0
