,Year,Citations
0,2020,106
1,2020,3
2,2020,0
3,2020,0
4,2020,0
5,2021,332
6,2021,47
7,2021,81
8,2021,69
9,2021,52
10,2021,24
11,2021,32
12,2021,22
13,2021,21
14,2021,14
15,2021,20
16,2021,15
17,2021,16
18,2021,17
19,2021,13
20,2021,13
21,2021,12
22,2021,6
23,2021,11
24,2021,8
25,2021,9
26,2021,4
27,2021,7
28,2021,2
29,2021,4
30,2021,3
31,2021,2
32,2021,1
33,2021,2
34,2021,1
35,2021,2
36,2021,2
37,2021,2
38,2021,1
39,2021,1
40,2021,4
41,2021,1
42,2021,1
43,2021,2
44,2021,1
45,2021,1
46,2021,1
47,2021,1
48,2021,0
49,2021,0
50,2021,0
51,2021,0
52,2021,0
53,2021,0
54,2021,0
55,2021,1
56,2021,1
57,2021,0
58,2021,0
59,2021,0
60,2021,0
61,2021,0
62,2022,96
63,2022,45
64,2022,86
65,2022,51
66,2022,63
67,2022,49
68,2022,35
69,2022,19
70,2022,21
71,2022,28
72,2022,20
73,2022,16
74,2022,21
75,2022,22
76,2022,23
77,2022,15
78,2022,25
79,2022,14
80,2022,11
81,2022,12
82,2022,16
83,2022,24
84,2022,13
85,2022,11
86,2022,17
87,2022,18
88,2022,18
89,2022,16
90,2022,15
91,2022,7
92,2022,20
93,2022,8
94,2022,14
95,2022,10
96,2022,8
97,2022,7
98,2022,5
99,2022,8
100,2022,12
101,2022,7
102,2022,5
103,2022,8
104,2022,5
105,2022,8
106,2022,6
107,2022,7
108,2022,7
109,2022,8
110,2022,12
111,2022,10
112,2022,9
113,2022,9
114,2022,7
115,2022,7
116,2022,6
117,2022,5
118,2022,4
119,2022,5
120,2022,5
121,2022,4
122,2022,7
123,2022,3
124,2022,4
125,2022,4
126,2022,3
127,2022,4
128,2022,6
129,2022,3
130,2022,6
131,2022,4
132,2022,3
133,2022,5
134,2022,6
135,2022,8
136,2022,6
137,2022,4
138,2022,4
139,2022,4
140,2022,8
141,2022,4
142,2022,5
143,2022,7
144,2022,6
145,2022,4
146,2022,5
147,2022,4
148,2022,9
149,2022,6
150,2022,2
151,2022,2
152,2022,2
153,2022,3
154,2022,2
155,2022,2
156,2022,2
157,2022,3
158,2022,3
159,2022,2
160,2022,3
161,2022,1
162,2022,3
163,2022,2
164,2022,1
165,2022,4
166,2022,3
167,2022,1
168,2022,2
169,2022,2
170,2022,3
171,2022,2
172,2022,3
173,2022,1
174,2022,1
175,2022,1
176,2022,1
177,2022,2
178,2022,2
179,2022,2
180,2022,2
181,2022,1
182,2022,2
183,2022,1
184,2022,2
185,2022,1
186,2022,2
187,2022,2
188,2022,2
189,2022,2
190,2022,1
191,2022,1
192,2022,1
193,2022,1
194,2022,1
195,2022,1
196,2022,2
197,2022,3
198,2022,2
199,2022,1
200,2022,2
201,2022,0
202,2022,2
203,2022,1
204,2022,2
205,2022,1
206,2022,1
207,2022,0
208,2022,0
209,2022,0
210,2022,0
211,2022,0
212,2022,2
213,2022,1
214,2022,0
215,2022,0
216,2022,0
217,2022,0
218,2022,0
219,2022,0
220,2022,0
221,2022,0
222,2022,0
223,2022,0
224,2022,0
225,2022,0
226,2022,0
227,2022,0
228,2022,0
229,2022,0
230,2022,0
231,2022,0
232,2022,1
233,2022,1
234,2022,0
235,2022,0
236,2022,0
237,2022,0
238,2022,0
239,2022,0
240,2022,0
241,2022,0
242,2022,0
243,2022,0
244,2022,0
245,2022,0
246,2022,0
247,2022,0
248,2022,0
249,2022,0
250,2022,0
251,2022,0
252,2022,2
253,2022,0
254,2022,0
255,2022,0
256,2022,0
257,2022,0
258,2022,0
259,2022,0
260,2022,0
261,2022,0
262,2022,0
263,2022,0
264,2022,0
265,2022,0
266,2022,0
267,2022,0
268,2022,0
269,2023,334
270,2023,24
271,2023,4
272,2023,12
273,2023,28
274,2023,13
275,2023,9
276,2023,18
277,2023,21
278,2023,12
279,2023,27
280,2023,12
281,2023,13
282,2023,4
283,2023,17
284,2023,16
285,2023,2
286,2023,4
287,2023,11
288,2023,6
289,2023,5
290,2023,9
291,2023,14
292,2023,3
293,2023,6
294,2023,6
295,2023,4
296,2023,10
297,2023,5
298,2023,6
299,2023,3
300,2023,2
301,2023,2
302,2023,6
303,2023,1
304,2023,4
305,2023,6
306,2023,1
307,2023,6
308,2023,2
309,2023,4
310,2023,7
311,2023,5
312,2023,6
313,2023,11
314,2023,2
315,2023,2
316,2023,5
317,2023,9
318,2023,3
319,2023,3
320,2023,4
321,2023,3
322,2023,2
323,2023,7
324,2023,8
325,2023,3
326,2023,4
327,2023,3
328,2023,4
329,2023,4
330,2023,3
331,2023,3
332,2023,2
333,2023,3
334,2023,1
335,2023,2
336,2023,2
337,2023,3
338,2023,2
339,2023,3
340,2023,3
341,2023,4
342,2023,2
343,2023,5
344,2023,2
345,2023,1
346,2023,4
347,2023,2
348,2023,3
349,2023,7
350,2023,2
351,2023,1
352,2023,3
353,2023,4
354,2023,2
355,2023,2
356,2023,3
357,2023,3
358,2023,0
359,2023,5
360,2023,3
361,2023,3
362,2023,2
363,2023,4
364,2023,2
365,2023,3
366,2023,1
367,2023,3
368,2023,0
369,2023,2
370,2023,5
371,2023,2
372,2023,1
373,2023,1
374,2023,3
375,2023,4
376,2023,1
377,2023,1
378,2023,1
379,2023,3
380,2023,1
381,2023,1
382,2023,1
383,2023,1
384,2023,2
385,2023,1
386,2023,0
387,2023,0
388,2023,0
389,2023,3
390,2023,3
391,2023,1
392,2023,1
393,2023,2
394,2023,6
395,2023,1
396,2023,2
397,2023,0
398,2023,0
399,2023,1
400,2023,1
401,2023,1
402,2023,0
403,2023,0
404,2023,0
405,2023,0
406,2023,0
407,2023,0
408,2023,0
409,2023,1
410,2023,1
411,2023,2
412,2023,1
413,2023,0
414,2023,0
415,2023,0
416,2023,0
417,2023,0
418,2023,0
419,2023,2
420,2023,1
421,2023,1
422,2023,2
423,2023,0
424,2023,0
425,2023,0
426,2023,0
427,2023,0
428,2023,0
429,2023,1
430,2023,1
431,2023,1
432,2023,1
433,2023,1
434,2023,1
435,2023,0
436,2023,0
437,2023,0
438,2023,0
439,2023,1
440,2023,1
441,2023,1
442,2023,2
443,2023,0
444,2023,0
445,2023,0
446,2023,0
447,2023,0
448,2023,0
449,2023,1
450,2023,1
451,2023,2
452,2023,0
453,2023,0
454,2023,0
455,2023,0
456,2023,0
457,2023,0
458,2023,0
459,2023,1
460,2023,1
461,2023,2
462,2023,2
463,2023,0
464,2023,0
465,2023,0
466,2023,0
467,2023,0
468,2023,0
469,2023,1
470,2023,0
471,2023,0
472,2023,0
473,2023,0
474,2023,0
475,2023,0
476,2023,0
477,2023,0
478,2023,0
479,2023,1
480,2023,1
481,2023,1
482,2023,0
483,2023,0
484,2023,0
485,2023,0
486,2023,0
487,2023,0
488,2023,0
489,2023,1
490,2023,1
491,2023,1
492,2023,1
493,2023,0
494,2023,0
495,2023,0
496,2023,0
497,2023,0
498,2023,0
499,2023,4
500,2023,0
501,2023,0
502,2023,0
503,2023,0
504,2023,0
505,2023,0
506,2023,0
507,2023,0
508,2023,0
509,2023,1
510,2023,0
511,2023,0
512,2023,0
513,2023,0
514,2023,0
515,2023,0
516,2023,0
517,2023,0
518,2023,0
519,2023,1
520,2023,0
521,2023,0
522,2023,0
523,2023,0
524,2023,0
525,2023,0
526,2023,0
527,2023,0
528,2023,0
529,2023,2
530,2023,0
531,2023,0
532,2023,0
533,2023,0
534,2023,0
535,2023,0
536,2023,0
537,2023,0
538,2023,0
539,2023,1
540,2023,0
541,2023,0
542,2023,0
543,2023,0
544,2023,0
545,2023,0
546,2023,0
547,2023,0
548,2023,0
549,2023,0
550,2023,0
551,2023,0
552,2023,0
553,2023,0
554,2023,0
555,2023,0
556,2023,0
557,2023,0
558,2023,0
559,2023,0
560,2023,0
561,2023,0
562,2023,0
563,2023,0
564,2023,0
565,2023,0
566,2023,0
567,2023,0
568,2023,0
569,2023,0
570,2023,0
571,2023,0
572,2023,0
573,2023,0
574,2023,0
575,2023,0
576,2023,0
577,2023,0
578,2023,0
579,2023,1
580,2023,0
581,2023,0
582,2023,0
583,2023,0
584,2023,0
585,2023,0
586,2023,0
587,2023,0
588,2023,0
589,2023,0
590,2023,0
