,Year,Citations
0,2016,464
1,2016,53
2,2016,129
3,2016,114
4,2016,84
5,2016,64
6,2016,34
7,2016,35
8,2016,28
9,2016,17
10,2016,15
11,2016,15
12,2016,14
13,2016,7
14,2016,4
15,2016,3
16,2016,0
17,2016,0
18,2016,0
19,2016,0
20,2016,24
21,2016,3
22,2016,0
23,2016,0
24,2016,0
25,2017,1287
26,2017,698
27,2017,653
28,2017,686
29,2017,104
30,2017,457
31,2017,216
32,2017,234
33,2017,202
34,2017,187
35,2017,204
36,2017,185
37,2017,180
38,2017,176
39,2017,171
40,2017,167
41,2017,162
42,2017,150
43,2017,146
44,2017,131
45,2017,125
46,2017,127
47,2017,119
48,2017,120
49,2017,113
50,2017,113
51,2017,113
52,2017,110
53,2017,96
54,2017,83
55,2017,76
56,2017,80
57,2017,68
58,2017,64
59,2017,67
60,2017,71
61,2017,60
62,2017,57
63,2017,57
64,2017,63
65,2017,57
66,2017,53
67,2017,52
68,2017,49
69,2017,48
70,2017,45
71,2017,42
72,2017,42
73,2017,42
74,2017,40
75,2017,38
76,2017,42
77,2017,36
78,2017,33
79,2017,30
80,2017,32
81,2017,30
82,2017,33
83,2017,29
84,2017,24
85,2017,28
86,2017,25
87,2017,22
88,2017,31
89,2017,23
90,2017,22
91,2017,25
92,2017,21
93,2017,24
94,2017,21
95,2017,18
96,2017,21
97,2017,20
98,2017,18
99,2017,16
100,2017,15
101,2017,14
102,2017,12
103,2017,13
104,2017,13
105,2017,13
106,2017,12
107,2017,13
108,2017,15
109,2017,11
110,2017,12
111,2017,12
112,2017,11
113,2017,11
114,2017,10
115,2017,12
116,2017,9
117,2017,9
118,2017,10
119,2017,9
120,2017,8
121,2017,10
122,2017,8
123,2017,7
124,2017,7
125,2017,6
126,2017,5
127,2017,6
128,2017,5
129,2017,5
130,2017,4
131,2017,4
132,2017,4
133,2017,4
134,2017,4
135,2017,4
136,2017,4
137,2017,4
138,2017,4
139,2017,3
140,2017,3
141,2017,3
142,2017,3
143,2017,3
144,2017,3
145,2017,2
146,2017,5
147,2017,2
148,2017,2
149,2017,2
150,2017,2
151,2017,2
152,2017,1
153,2017,1
154,2017,1
155,2017,1
156,2017,1
157,2017,1
158,2017,1
159,2017,1
160,2017,0
161,2017,0
162,2017,0
163,2017,0
164,2017,0
165,2017,1
166,2017,69
